transaction_id,amount,currency,payment_method,issuer,failure_code,gateway_response_ms,attempt_count,customer_id_hash,created_at,status,true_root_cause,is_issuer_outage_case,is_ambiguous
txn_d0132bcd56aa,20037.02,INR,upi,,CARD_EXPIRED,262,1,4d709dad9d0acb3a,2026-08-03T05:08:00,failed,card_invalid,0,0
txn_78aa5815af23,20665.89,INR,card,HDFC Bank,NETWORK_ERROR,4254,2,5dcf4ec016a45bce,2026-08-01T17:14:00,degraded,network_transient,0,0
txn_464496d43f47,4294.68,INR,netbanking,Kotak Mahindra,CARD_EXPIRED,193,1,9e372600a4da6a03,2026-08-03T23:24:00,failed,card_invalid,0,0
txn_830a929633db,27226.14,INR,wallet,,DECLINED,154,2,f1c0a116f3802d90,2026-08-01T18:11:00,failed,card_invalid,0,1
txn_a70f4dc6ba7c,18151.74,INR,netbanking,Yes Bank,TIMEOUT,6748,3,2d6ed48c87e3e5d8,2026-08-03T01:13:00,degraded,gateway_timeout,0,0
txn_1ff9bbabb2af,12573.37,INR,upi,,CARD_EXPIRED,156,2,e013748056c31bed,2026-08-01T17:49:00,failed,card_invalid,0,0
txn_10e775898647,19140.49,INR,wallet,,NETWORK_ERROR,4822,3,ff366a7d432902fa,2026-08-03T18:50:00,degraded,network_transient,0,0
txn_32869e64c5c6,16498.48,INR,upi,,TIMEOUT,7622,1,3adfc26da2c309e6,2026-08-01T10:31:00,degraded,issuer_outage,0,0
txn_befbca9a3832,29451.39,INR,upi,,AUTH_FAILED,495,2,18953559f0a81a4a,2026-08-02T03:44:00,failed,authentication_failure,0,0
txn_2f121223f06a,41937.71,INR,wallet,,,6840,1,70e2056f920c5a69,2026-08-01T02:55:00,degraded,gateway_timeout,0,1
txn_2e613106f98b,26946.64,INR,upi,,NSF,353,1,f6e9dd0da18c1230,2026-08-02T03:32:00,failed,insufficient_funds,0,0
txn_ca490f3a413f,25299.85,INR,netbanking,ICICI Bank,TIMEOUT,9465,1,00861ee0306d527c,2026-08-01T01:56:00,degraded,issuer_outage,0,0
txn_8aa8c760145c,13101.06,INR,upi,,RISK_BLOCK,291,1,80c6dda627ebc0da,2026-08-02T19:35:00,failed,risk_flag,0,0
txn_6f0f873e29d1,9941.0,INR,card,Kotak Mahindra,TIMEOUT,6370,1,c3adc4f1c27ce139,2026-08-01T21:43:00,degraded,gateway_timeout,0,0
txn_fe03629c509c,35277.53,INR,netbanking,Yes Bank,TIMEOUT,4296,1,cf0d695300752c80,2026-08-03T10:54:00,degraded,gateway_timeout,0,0
txn_670368e97fa7,27704.28,INR,netbanking,HDFC Bank,DECLINED,7039,2,7d4e082f1a9aa9d3,2026-08-03T10:32:00,degraded,gateway_timeout,0,1
txn_9a0f548c378d,44575.16,INR,wallet,,NETWORK_ERROR,3838,1,d6a396a4e9ca2008,2026-08-03T20:37:00,degraded,network_transient,0,0
txn_07f4c3c8565d,38035.69,INR,card,SBI,TIMEOUT,6881,1,93c61f8248e04d4c,2026-08-02T07:04:00,degraded,gateway_timeout,0,0
txn_4ee166547dc9,23586.91,INR,wallet,,NETWORK_ERROR,2460,1,9d393204cd252ba6,2026-08-01T20:14:00,failed,network_transient,0,0
txn_388287f9c62d,5491.0,INR,upi,,UNKNOWN_ERROR,7658,2,b8e801fb6d18eabf,2026-08-01T22:05:00,degraded,gateway_timeout,0,1
txn_238b56aec9d4,6813.23,INR,upi,,RISK_BLOCK,163,1,cf8abfb31c0587b3,2026-08-02T14:14:00,failed,risk_flag,0,0
txn_90009530eda5,4419.7,INR,card,Kotak Mahindra,DECLINED,504,1,1a73cbf7b2dcbf9d,2026-08-03T23:16:00,failed,authentication_failure,0,1
txn_b325b4de8124,11961.21,INR,netbanking,Axis Bank,TIMEOUT,4005,2,47b107b679204689,2026-08-03T21:04:00,degraded,gateway_timeout,0,0
txn_98e32cc1c6cd,24726.88,INR,upi,,TIMEOUT,4308,2,125aa3de1db33ccb,2026-08-02T12:13:00,degraded,gateway_timeout,0,0
txn_81139da16409,16308.87,INR,wallet,,NSF,291,1,f7c1bd09d629c3f0,2026-08-02T16:08:00,failed,insufficient_funds,0,0
txn_c5954090c4c7,16180.87,INR,upi,,UNKNOWN_ERROR,5307,1,69b80f16c700bf6a,2026-08-02T08:55:00,degraded,gateway_timeout,0,1
